1	Counter-Strike: Source	cstrike	Counter-Strike Source	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
2	Counter-Strike: Source Beta	cstrike	cssbeta	icon	url	1	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
3	Dat of Defeat: Source	dod	dods	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
4	Half-Life Deathmatch: Source	hl1mp	NULL	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
5	Half-Life 2: Deathmatch	hl2mp	hl2mp	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
6	Team Fortress 2	tf	tf	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
7	Team Fortress 2 Beta	tf	tf_beta	icon	url	1	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
8	Left 4 Dead	left4dead	left4dead	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
9	Left 4 Dead	left4dead	l4d_full	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
10	Left 4 Dead 2	left4dead2	left4dead2	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
11	Left 4 Dead 2 Demo	NULL	left4dead2_demo	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
12	Counter-Strike	cstrike	cstrike	icon	url	0	0	2	2012-08-05 00:00:00	2012-08-05 00:00:00
13	Counter-Strike Beta	cstrike	cstrike	icon	url	1	0	2	2012-08-05 00:00:00	2012-08-05 00:00:00
14	Counter-Strike: Condition Zero	czero	czero	icon	url	0	0	2	2012-08-05 00:00:00	2012-08-05 00:00:00
15	Deathmatch Classic	dmc	dmc	icon	url	0	0	2	2012-08-05 00:00:00	2012-08-05 00:00:00
16	Day of Defeat	dod	dod	icon	url	0	0	2	2012-08-05 00:00:00	2012-08-05 00:00:00
17	Half-Life: Opposing Force	gearbox	gearbox	icon	url	0	0	2	2012-08-05 00:00:00	2012-08-05 00:00:00
18	Ricochet	ricochet	ricochet	icon	url	0	0	2	2012-08-05 00:00:00	2012-08-05 00:00:00
19	Team Fortress Classic	tfc	tfc	icon	url	0	0	2	2012-08-05 00:00:00	2012-08-05 00:00:00
20	Half-Life	valve	valve	icon	url	0	0	2	2012-08-05 00:00:00	2012-08-05 00:00:00
21	Dark Messiah	mmdarkmessiah	darkmessiah	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
22	Garry's Mod	garrysmod	garrysmod	icon	url	0	0	1	2012-08-05 00:00:00	2012-08-05 00:00:00
23	Red Orchestra: Ostfront 41-45	redorchestra	redorchestra	icon	url	0	0	3	2012-08-05 00:00:00	2012-08-05 00:00:00
